<http://zbw.eu/stw/descriptor/18803-0>	Public institution
<http://zbw.eu/stw/descriptor/11681-2>	Transaction tax
<http://zbw.eu/stw/descriptor/19674-1>	Agricultural price
<http://zbw.eu/stw/descriptor/16504-6>	Exemption from punishment
<http://zbw.eu/stw/descriptor/16196-5>	Criminology
<http://zbw.eu/stw/descriptor/29737-4>	Export supply
<http://zbw.eu/stw/descriptor/19724-5>	Military logistics
<http://zbw.eu/stw/descriptor/11959-4>	Regional input-output analysis
<http://zbw.eu/stw/descriptor/16656-4>	Segregation
<http://zbw.eu/stw/descriptor/12951-1>	Plant breeding
<http://zbw.eu/stw/descriptor/26808-1>	Turks
<http://zbw.eu/stw/descriptor/14442-5>	Motorhome
<http://zbw.eu/stw/descriptor/29012-6>	Sensemaking approach
<http://zbw.eu/stw/descriptor/15376-1>	Econometric model
<http://zbw.eu/stw/thsys/71098>	V.07.02  Foreign economic policy
<http://zbw.eu/stw/descriptor/29872-5>	Dynamic econometrics
<http://zbw.eu/stw/descriptor/10414-2>	Economic growth
<http://zbw.eu/stw/descriptor/10814-0>	Capital flight
<http://zbw.eu/stw/descriptor/26308-0>	Indian
<http://zbw.eu/stw/descriptor/12387-4>	Accruals and deferrals
<http://zbw.eu/stw/descriptor/14522-0>	Consumer electronics
<http://zbw.eu/stw/descriptor/12903-5>	Financial audit
<http://zbw.eu/stw/descriptor/19023-0>	Whales
<http://zbw.eu/stw/descriptor/10944-1>	Workable competition
<http://zbw.eu/stw/descriptor/10656-6>	Manufactures trade
<http://zbw.eu/stw/descriptor/30182-6>	Missing data
<http://zbw.eu/stw/descriptor/10980-4>	Government failure
<http://zbw.eu/stw/descriptor/12798-4>	Store brand
<http://zbw.eu/stw/descriptor/29672-6>	Post-Keynesian monetary theory
<http://zbw.eu/stw/descriptor/10315-4>	Factor substitution
<http://zbw.eu/stw/descriptor/29326-4>	Internet usage
<http://zbw.eu/stw/descriptor/12181-3>	Civil-law partnership
<http://zbw.eu/stw/descriptor/10291-6>	Investment function
<http://zbw.eu/stw/descriptor/28237-1>	Knowledge-intensive industry
<http://zbw.eu/stw/thsys/70539>	V.12.02.01  Energy Policy
<http://zbw.eu/stw/descriptor/18349-3>	Energy management
<http://zbw.eu/stw/descriptor/18878-4>	Field of study
<http://zbw.eu/stw/descriptor/11963-6>	Shift-share analysis
<http://zbw.eu/stw/descriptor/12326-3>	Accounting law
<http://zbw.eu/stw/descriptor/19562-5>	Business organization
<http://zbw.eu/stw/descriptor/16535-2>	Youth welfare services
<http://zbw.eu/stw/descriptor/18559-6>	Sustainable product
<http://zbw.eu/stw/descriptor/15908-1>	Disabled persons
<http://zbw.eu/stw/descriptor/16287-2>	Political opinion formation
<http://zbw.eu/stw/descriptor/18928-1>	Media economics
<http://zbw.eu/stw/descriptor/13995-4>	Legal profession
<http://zbw.eu/stw/descriptor/16280-2>	Political opposition
<http://zbw.eu/stw/descriptor/11233-1>	Intermediate labour market
<http://zbw.eu/stw/descriptor/16909-1>	Rhineland-Palatinate
<http://zbw.eu/stw/descriptor/19573-0>	VAR model
<http://zbw.eu/stw/descriptor/11060-6>	Socialism
<http://zbw.eu/stw/descriptor/29764-1>	Okun's law
<http://zbw.eu/stw/descriptor/10713-6>	Tariff policy
<http://zbw.eu/stw/thsys/70965>	W.08  Skilled crafts
<http://zbw.eu/stw/descriptor/13766-5>	Swap
<http://zbw.eu/stw/descriptor/29444-5>	Publication
<http://zbw.eu/stw/descriptor/12842-6>	Advertising music
<http://zbw.eu/stw/descriptor/14969-0>	Fish product
<http://zbw.eu/stw/descriptor/13374-1>	Veterinary control service
<http://zbw.eu/stw/descriptor/13440-0>	Family farm
<http://zbw.eu/stw/descriptor/19259-6>	Monetary transmission
<http://zbw.eu/stw/descriptor/10028-0>	Value added
<http://zbw.eu/stw/descriptor/16318-3>	Welfare state
<http://zbw.eu/stw/descriptor/18228-1>	Macedonia
<http://zbw.eu/stw/descriptor/17947-2>	Samoa
<http://zbw.eu/stw/descriptor/19182-1>	Oil market
<http://zbw.eu/stw/descriptor/29782-6>	Dutch auction
<http://zbw.eu/stw/descriptor/15373-0>	Econometrics
<http://zbw.eu/stw/descriptor/18270-2>	Parallel computer
<http://zbw.eu/stw/descriptor/12236-4>	Bank guarantee
<http://zbw.eu/stw/descriptor/29589-0>	Hotelling rule
<http://zbw.eu/stw/descriptor/19311-2>	Exchange rate pass-through
<http://zbw.eu/stw/descriptor/18574-3>	Passenger rail transport
<http://zbw.eu/stw/descriptor/13148-3>	Weaving industry
<http://zbw.eu/stw/descriptor/13742-5>	Securities trading
<http://zbw.eu/stw/descriptor/13825-1>	Insurance law
<http://zbw.eu/stw/descriptor/29612-3>	Bamboo
<http://zbw.eu/stw/descriptor/29545-6>	EU financial markets law
<http://zbw.eu/stw/descriptor/18108-4>	EU legal form of organization
<http://zbw.eu/stw/descriptor/29301-6>	Film
<http://zbw.eu/stw/descriptor/12029-2>	Real estate
<http://zbw.eu/stw/descriptor/14053-2>	Hydropower plant
<http://zbw.eu/stw/descriptor/16143-5>	Sick pay
<http://zbw.eu/stw/descriptor/15713-2>	Discrimination
<http://zbw.eu/stw/descriptor/18527-5>	Retail format
<http://zbw.eu/stw/descriptor/18333-4>	Land reform
<http://zbw.eu/stw/descriptor/15932-4>	Ethnic discrimination
<http://zbw.eu/stw/descriptor/30011-5>	Cyclical behaviour
<http://zbw.eu/stw/descriptor/12564-1>	Electronic human resource management
<http://zbw.eu/stw/descriptor/16379-4>	Pluralism
<http://zbw.eu/stw/descriptor/15674-0>	Social pedagogy
<http://zbw.eu/stw/descriptor/19345-6>	Pig market
<http://zbw.eu/stw/descriptor/26759-2>	South Korean
<http://zbw.eu/stw/thsys/180720>	B.01.01.01  Strategic management
<http://zbw.eu/stw/descriptor/18133-5>	Mecklenburg-Vorpommern
<http://zbw.eu/stw/descriptor/13383-0>	Opinion poll
<http://zbw.eu/stw/descriptor/29608-1>	Health care market
<http://zbw.eu/stw/descriptor/18261-3>	Detergent industry
<http://zbw.eu/stw/descriptor/19709-1>	Great powers
<http://zbw.eu/stw/descriptor/17987-4>	SADC countries
<http://zbw.eu/stw/descriptor/19240-6>	Regional business cycle
<http://zbw.eu/stw/descriptor/27862-4>	Employee retention
<http://zbw.eu/stw/descriptor/13367-5>	Publishing industry
<http://zbw.eu/stw/descriptor/16486-3>	Immigration policy
<http://zbw.eu/stw/descriptor/13026-3>	Precious metal industry
<http://zbw.eu/stw/descriptor/26340-4>	Christians
<http://zbw.eu/stw/descriptor/11419-1>	Money counterfeiting
<http://zbw.eu/stw/descriptor/12192-5>	Business partnership
<http://zbw.eu/stw/descriptor/12786-4>	Customer service
<http://zbw.eu/stw/descriptor/14490-1>	Telecommunications equipment
<http://zbw.eu/stw/thsys/70902>	W.14.01.01  Specialized banks
<http://zbw.eu/stw/descriptor/16416-3>	Nationalism
<http://zbw.eu/stw/descriptor/12016-4>	Soil degradation
<http://zbw.eu/stw/descriptor/24785-4>	Customer satisfaction
<http://zbw.eu/stw/descriptor/13971-4>	Media professions
<http://zbw.eu/stw/descriptor/29787-3>	Multi-unit auction
<http://zbw.eu/stw/thsys/73334>	N.05.07  Crime and criminal law
<http://zbw.eu/stw/descriptor/10523-4>	Development planning
<http://zbw.eu/stw/descriptor/15940-5>	Household survey
<http://zbw.eu/stw/descriptor/10197-5>	Duopoly
<http://zbw.eu/stw/descriptor/11305-2>	Working conditions
<http://zbw.eu/stw/descriptor/19370-0>	State government finance
<http://zbw.eu/stw/descriptor/19284-0>	Voucher privatization
<http://zbw.eu/stw/descriptor/18433-0>	IT law
<http://zbw.eu/stw/descriptor/18155-2>	Rent seeking
<http://zbw.eu/stw/descriptor/14640-1>	Greenhouse gas emissions
<http://zbw.eu/stw/descriptor/18685-1>	Asset-backed securities
<http://zbw.eu/stw/descriptor/19591-5>	Numerical analysis
<http://zbw.eu/stw/descriptor/11582-4>	Military contract
<http://zbw.eu/stw/descriptor/19798-4>	Microsystems
<http://zbw.eu/stw/descriptor/29928-4>	Sport management
<http://zbw.eu/stw/descriptor/16037-4>	Copyright law
<http://zbw.eu/stw/descriptor/14779-5>	Glassware
<http://zbw.eu/stw/descriptor/18400-1>	Metalworkers
<http://zbw.eu/stw/descriptor/14037-0>	Coal-fired power plant
<http://zbw.eu/stw/descriptor/18376-0>	Energy tax
<http://zbw.eu/stw/descriptor/29810-6>	Cause-related marketing
<http://zbw.eu/stw/descriptor/14092-6>	Potato
<http://zbw.eu/stw/descriptor/26329-6>	Irish
<http://zbw.eu/stw/descriptor/17791-0>	Central America
<http://zbw.eu/stw/descriptor/19818-3>	Professional regulations
<http://zbw.eu/stw/descriptor/13587-5>	Travel behaviour
<http://zbw.eu/stw/descriptor/10173-5>	Family economics
<http://zbw.eu/stw/descriptor/18861-0>	Adults
<http://zbw.eu/stw/descriptor/19560-2>	Voluntary agreement
<http://zbw.eu/stw/descriptor/10533-1>	Key sector
<http://zbw.eu/stw/descriptor/26330-0>	Islamic
<http://zbw.eu/stw/descriptor/19025-3>	Process
<http://zbw.eu/stw/descriptor/24740-5>	Hedge fund
<http://zbw.eu/stw/descriptor/19791-4>	Heart disease
<http://zbw.eu/stw/descriptor/14822-2>	Plastic product
<http://zbw.eu/stw/descriptor/16266-3>	Public participation
<http://zbw.eu/stw/descriptor/17937-5>	Fiji
<http://zbw.eu/stw/descriptor/19704-4>	Criminal policy
<http://zbw.eu/stw/thsys/70176>	V.14.02  Economics of education
<http://zbw.eu/stw/descriptor/14023-4>	Office supplies
<http://zbw.eu/stw/descriptor/10628-4>	Customs union
<http://zbw.eu/stw/descriptor/11688-2>	Optimal taxation
<http://zbw.eu/stw/descriptor/13970-6>	Retail and wholesale occupations
<http://zbw.eu/stw/descriptor/13965-6>	Bank employees
<http://zbw.eu/stw/thsys/70581>	N.08.03  Culture and the arts
<http://zbw.eu/stw/descriptor/29783-4>	Private-value auction
<http://zbw.eu/stw/descriptor/16670-3>	Disease
<http://zbw.eu/stw/thsys/71016>	W.04.01  Energy sector
<http://zbw.eu/stw/descriptor/12598-5>	Hourly wage rate
<http://zbw.eu/stw/descriptor/18591-3>	Shipping law
<http://zbw.eu/stw/descriptor/12436-3>	Net asset value
<http://zbw.eu/stw/descriptor/17735-3>	Congo (Republic)
<http://zbw.eu/stw/descriptor/18448-1>	Music industry
<http://zbw.eu/stw/descriptor/19366-5>	Rubber market
<http://zbw.eu/stw/descriptor/29768-0>	Addiction prevention
<http://zbw.eu/stw/descriptor/14581-5>	Toys
<http://zbw.eu/stw/descriptor/10162-3>	Revealed preferences
<http://zbw.eu/stw/descriptor/14431-3>	Electric vehicle
<http://zbw.eu/stw/thsys/70186>	B.03.01  Financial accounting
<http://zbw.eu/stw/descriptor/18898-5>	AIDS
<http://zbw.eu/stw/descriptor/10993-2>	Economic target
<http://zbw.eu/stw/thsys/70372>	P.16  Rubber and plastic products
<http://zbw.eu/stw/descriptor/14154-3>	Softwood
<http://zbw.eu/stw/descriptor/18960-5>	Industrial waste management
<http://zbw.eu/stw/descriptor/15961-4>	Freedom of information
<http://zbw.eu/stw/descriptor/10176-6>	Household production
<http://zbw.eu/stw/descriptor/10401-4>	Social pact
<http://zbw.eu/stw/descriptor/18069-2>	Climate change
<http://zbw.eu/stw/descriptor/13365-2>	Book publishing
<http://zbw.eu/stw/descriptor/29843-5>	Order quantity
<http://zbw.eu/stw/descriptor/11529-1>	Cost-benefit analysis
<http://zbw.eu/stw/descriptor/13145-2>	Textile industry
<http://zbw.eu/stw/descriptor/18645-6>	Courier services
<http://zbw.eu/stw/thsys/70932>	W.12.04  Air transport
<http://zbw.eu/stw/descriptor/16979-1>	Vaud
<http://zbw.eu/stw/descriptor/14989-1>	Animal feed
<http://zbw.eu/stw/descriptor/14957-0>	Spreadable fat
<http://zbw.eu/stw/descriptor/19849-6>	Litigation costs
<http://zbw.eu/stw/descriptor/18313-3>	Farming system
<http://zbw.eu/stw/descriptor/10006-3>	Income
<http://zbw.eu/stw/descriptor/26599-5>	Philippine
<http://zbw.eu/stw/descriptor/11518-6>	Wage-price spiral
<http://zbw.eu/stw/descriptor/13811-5>	Private insurance
<http://zbw.eu/stw/descriptor/29222-2>	International financial system
<http://zbw.eu/stw/descriptor/15928-2>	Race
<http://zbw.eu/stw/descriptor/16090-0>	EU tax law
<http://zbw.eu/stw/descriptor/13028-6>	Foundry industry
<http://zbw.eu/stw/descriptor/17772-4>	Barbados
<http://zbw.eu/stw/descriptor/11866-4>	Landscape conservation
<http://zbw.eu/stw/descriptor/11770-3>	Redistribution
<http://zbw.eu/stw/thsys/180785>	B.04.03.01  Compensation
<http://zbw.eu/stw/descriptor/19520-0>	Trading company
<http://zbw.eu/stw/descriptor/17497-0>	Kyrgyzstan
<http://zbw.eu/stw/descriptor/13446-2>	Agricultural sciences
<http://zbw.eu/stw/descriptor/17689-5>	eSwatini
<http://zbw.eu/stw/descriptor/20826-1>	Global governance
<http://zbw.eu/stw/descriptor/19673-3>	Firm value
<http://zbw.eu/stw/descriptor/15097-5>	Index construction
<http://zbw.eu/stw/descriptor/11847-1>	Housing policy
<http://zbw.eu/stw/descriptor/29574-6>	Piracy
<http://zbw.eu/stw/descriptor/10012-1>	Market
<http://zbw.eu/stw/descriptor/12919-4>	Plastics industry
<http://zbw.eu/stw/descriptor/26277-6>	Haitians
<http://zbw.eu/stw/thsys/73339>	N.10.05.03  Computer science
<http://zbw.eu/stw/descriptor/26192-0>	Danes
<http://zbw.eu/stw/descriptor/13593-3>	Spatial accessibility
<http://zbw.eu/stw/descriptor/29201-3>	Cloud computing
<http://zbw.eu/stw/descriptor/17779-4>	Dominican Republic
<http://zbw.eu/stw/descriptor/27161-6>	International corporate finance
<http://zbw.eu/stw/descriptor/28664-3>	Financial literacy
<http://zbw.eu/stw/descriptor/12287-1>	Institutional investor
<http://zbw.eu/stw/descriptor/14055-5>	Cotton
<http://zbw.eu/stw/thsys/70144>	V.09  Public finance
<http://zbw.eu/stw/thsys/70179>	V.07  International economics
<http://zbw.eu/stw/descriptor/18557-3>	Eco-label
<http://zbw.eu/stw/descriptor/18561-5>	Online booking system
<http://zbw.eu/stw/descriptor/18116-5>	Business ethics
<http://zbw.eu/stw/descriptor/29182-2>	Social Web
<http://zbw.eu/stw/descriptor/13222-3>	Furniture retailing
<http://zbw.eu/stw/descriptor/12577-6>	Work climate
<http://zbw.eu/stw/descriptor/13421-4>	State of a federation
<http://zbw.eu/stw/thsys/70485>	B.01.01  Management and corporate planning
<http://zbw.eu/stw/descriptor/28881-2>	Cannabis
<http://zbw.eu/stw/descriptor/29992-2>	Domestic trade
<http://zbw.eu/stw/descriptor/11219-2>	Labour market theory
<http://zbw.eu/stw/descriptor/19386-6>	Natural gas resources
<http://zbw.eu/stw/descriptor/12177-1>	Spin-off company
<http://zbw.eu/stw/descriptor/10524-2>	Development strategy
<http://zbw.eu/stw/descriptor/29812-2>	Multichannel strategy
<http://zbw.eu/stw/descriptor/19491-2>	Non-standard employment
<http://zbw.eu/stw/descriptor/15054-2>	Nonlinear dynamics
<http://zbw.eu/stw/descriptor/16268-6>	Democratization
<http://zbw.eu/stw/descriptor/18299-6>	Tea plantation
<http://zbw.eu/stw/descriptor/10450-5>	Basic research
<http://zbw.eu/stw/descriptor/11353-5>	Education
<http://zbw.eu/stw/descriptor/29588-2>	Natural resource use
<http://zbw.eu/stw/descriptor/13957-5>	Architects
<http://zbw.eu/stw/descriptor/10433-5>	Vintage capital model
<http://zbw.eu/stw/descriptor/16495-2>	European integration
<http://zbw.eu/stw/descriptor/12354-5>	Fixed assets
<http://zbw.eu/stw/descriptor/29668-4>	Double dividend
<http://zbw.eu/stw/descriptor/16526-3>	Retirement
<http://zbw.eu/stw/descriptor/12961-5>	Forestry
<http://zbw.eu/stw/descriptor/26707-0>	Soviet citizens
<http://zbw.eu/stw/thsys/70832>	W.22.03  Social insurance
<http://zbw.eu/stw/descriptor/19808-6>	Neural networks
<http://zbw.eu/stw/descriptor/10043-4>	Small open economy
<http://zbw.eu/stw/descriptor/13444-6>	Agricultural history
<http://zbw.eu/stw/descriptor/19667-5>	Market exit
<http://zbw.eu/stw/descriptor/13486-4>	Shoplifting
<http://zbw.eu/stw/descriptor/11857-5>	Region
<http://zbw.eu/stw/descriptor/19185-2>	Copper market
<http://zbw.eu/stw/descriptor/14383-2>	Sewing machine
<http://zbw.eu/stw/descriptor/11189-6>	Labour market discrimination
<http://zbw.eu/stw/descriptor/18766-1>	Software development
<http://zbw.eu/stw/descriptor/29547-2>	EU competition law
<http://zbw.eu/stw/descriptor/16680-0>	Cultural sociology
<http://zbw.eu/stw/descriptor/17596-5>	Afghanistan
<http://zbw.eu/stw/descriptor/16896-5>	Lower Saxony
<http://zbw.eu/stw/descriptor/16422-1>	Secession
<http://zbw.eu/stw/descriptor/30084-6>	Himalayas
<http://zbw.eu/stw/descriptor/29979-1>	Point estimation
<http://zbw.eu/stw/descriptor/12441-3>	Value adjustment
<http://zbw.eu/stw/descriptor/10037-6>	Economic research
<http://zbw.eu/stw/descriptor/16036-6>	Law of obligations
<http://zbw.eu/stw/descriptor/18099-0>	Sponsorship
<http://zbw.eu/stw/descriptor/19598-5>	AHP approach
<http://zbw.eu/stw/descriptor/19414-6>	Export tax
<http://zbw.eu/stw/descriptor/10590-3>	Project evaluation
<http://zbw.eu/stw/thsys/71094>	V.07.04.01  International monetary system
<http://zbw.eu/stw/descriptor/27602-2>	Compliance management
<http://zbw.eu/stw/descriptor/19341-0>	Fruit and vegetable market
<http://zbw.eu/stw/thsys/194374>	N.09.02.08  Time series analysis
<http://zbw.eu/stw/descriptor/26393-4>	Croats
<http://zbw.eu/stw/thsys/194780>	V.11.06.01  Urban geography
<http://zbw.eu/stw/descriptor/12990-5>	Coal mining
<http://zbw.eu/stw/descriptor/10821-3>	Exchange rate risk
<http://zbw.eu/stw/descriptor/18939-3>	Broadcasting finance
<http://zbw.eu/stw/descriptor/15888-2>	Meteorology
<http://zbw.eu/stw/descriptor/19845-0>	Disclosure regulation
<http://zbw.eu/stw/descriptor/12330-5>	Accounting information system
<http://zbw.eu/stw/descriptor/17781-3>	Grenada
<http://zbw.eu/stw/descriptor/18414-4>	Robot industry
<http://zbw.eu/stw/descriptor/13583-6>	Traffic volume
<http://zbw.eu/stw/descriptor/30035-5>	Golf
<http://zbw.eu/stw/descriptor/14272-4>	Coated metals
<http://zbw.eu/stw/descriptor/16745-5>	History of economic thought
<http://zbw.eu/stw/descriptor/18572-0>	Railway company
<http://zbw.eu/stw/descriptor/12308-5>	Earnings announcement
<http://zbw.eu/stw/descriptor/29779-2>	First-price auction
<http://zbw.eu/stw/descriptor/18378-3>	Water supply
<http://zbw.eu/stw/descriptor/13214-2>	DIY retail
<http://zbw.eu/stw/descriptor/12172-4>	Business information systems
<http://zbw.eu/stw/descriptor/17927-1>	Paraguay
<http://zbw.eu/stw/descriptor/16432-5>	Political goal
<http://zbw.eu/stw/descriptor/15738-0>	International environmental policy
<http://zbw.eu/stw/descriptor/10472-2>	Technology transfer
<http://zbw.eu/stw/thsys/70361>	G.01.05.01  Germany
<http://zbw.eu/stw/descriptor/18540-6>	Export-import bank
<http://zbw.eu/stw/descriptor/14302-0>	Non-ferrous metal
<http://zbw.eu/stw/descriptor/15076-6>	Economic statistics
<http://zbw.eu/stw/thsys/70959>	W.10.03  Consumer products distribution
<http://zbw.eu/stw/descriptor/30066-1>	TTIP countries
<http://zbw.eu/stw/descriptor/10057-0>	Risk
<http://zbw.eu/stw/descriptor/10087-5>	Neoclassical synthesis
<http://zbw.eu/stw/descriptor/11421-0>	Money market
<http://zbw.eu/stw/descriptor/15765-4>	Ecology
<http://zbw.eu/stw/descriptor/19286-3>	Autarky
<http://zbw.eu/stw/descriptor/30180-3>	Pests
<http://zbw.eu/stw/descriptor/12138-4>	Centralized organization
<http://zbw.eu/stw/descriptor/15717-1>	Social class
<http://zbw.eu/stw/descriptor/12998-3>	Paint industry
<http://zbw.eu/stw/descriptor/13023-2>	Cement industry
<http://zbw.eu/stw/descriptor/11266-0>	Labour demand
<http://zbw.eu/stw/descriptor/12239-5>	Shareholder rights
<http://zbw.eu/stw/descriptor/14068-3>	Herbs
<http://zbw.eu/stw/descriptor/13714-3>	Shareholders
<http://zbw.eu/stw/descriptor/28384-2>	Child protection
<http://zbw.eu/stw/descriptor/11678-5>	Sales tax
<http://zbw.eu/stw/thsys/p>	P  Commodities
<http://zbw.eu/stw/descriptor/20842-3>	Good governance
<http://zbw.eu/stw/descriptor/18105-3>	Pension fund
<http://zbw.eu/stw/descriptor/19527-0>	Organ transplantation
<http://zbw.eu/stw/descriptor/18341-5>	Common fisheries policy
<http://zbw.eu/stw/descriptor/10186-3>	Factor price
<http://zbw.eu/stw/descriptor/29897-3>	Intergenerational mobility
<http://zbw.eu/stw/descriptor/16016-5>	Constitution
<http://zbw.eu/stw/thsys/73391>	N.05.03.01  Private economic law
<http://zbw.eu/stw/descriptor/17433-5>	Netherlands
<http://zbw.eu/stw/thsys/71117>	V.02.04  Economics of information
<http://zbw.eu/stw/descriptor/14439-1>	Bus
<http://zbw.eu/stw/descriptor/29679-6>	Alternative currency
<http://zbw.eu/stw/descriptor/29522-4>	Large shareholders
<http://zbw.eu/stw/descriptor/16004-5>	Food law
<http://zbw.eu/stw/descriptor/13165-3>	Sugar industry
<http://zbw.eu/stw/descriptor/18143-2>	Leadership development
<http://zbw.eu/stw/descriptor/19272-0>	Regional financial sector
