<http://www.yso.fi/onto/yso/p19899>	Häme Castle
<http://www.yso.fi/onto/yso/p15539>	dressing plants
<http://www.yso.fi/onto/yso/p21450>	heritology
<http://www.yso.fi/onto/yso/p12147>	Middle High German language
<http://www.yso.fi/onto/yso/p20481>	rural geography
<http://www.yso.fi/onto/yso/p15868>	carbines
<http://www.yso.fi/onto/yso/p4221>	monitoring devices
<http://www.yso.fi/onto/yso/p21681>	import prices
<http://www.yso.fi/onto/yso/p2173>	cognitive linguistics
<http://www.yso.fi/onto/yso/p25053>	international safety
<http://www.yso.fi/onto/yso/p4257>	profitability
<http://www.yso.fi/onto/yso/p28413>	time structure
<http://www.yso.fi/onto/yso/p4179>	Amphicyonidae
<http://www.yso.fi/onto/yso/p20368>	cableways
<http://www.yso.fi/onto/yso/p18573>	tinning
<http://www.yso.fi/onto/yso/p26502>	spectrometers
<http://www.yso.fi/onto/yso/p105121>	Keravanjoki
<http://www.yso.fi/onto/yso/p8922>	melting point
<http://www.yso.fi/onto/yso/p24437>	weapon-related crimes
<http://www.yso.fi/onto/yso/p3692>	sabbatical leave
<http://www.yso.fi/onto/yso/p3277>	Luhdanjoki  Nature Reserve
<http://www.yso.fi/onto/yso/p21169>	vocational special education
<http://www.yso.fi/onto/yso/p8368>	video
<http://www.yso.fi/onto/yso/p20503>	leaf
<http://www.yso.fi/onto/yso/p14304>	gems
<http://www.yso.fi/onto/yso/p13046>	special education of disabled pupils
<http://www.yso.fi/onto/yso/p16162>	youth theatres
<http://www.yso.fi/onto/yso/p24050>	management culture
<http://www.yso.fi/onto/yso/p110676>	Kevo
<http://www.yso.fi/onto/yso/p19636>	solar energy
<http://www.yso.fi/onto/yso/p16053>	national songs
<http://www.yso.fi/onto/yso/p17866>	computer-assisted manufacture
<http://www.yso.fi/onto/yso/p2512>	writing
<http://www.yso.fi/onto/yso/p25953>	scabies
<http://www.yso.fi/onto/yso/p30022>	fandango
<http://www.yso.fi/onto/yso/p12274>	regional land use planning
<http://www.yso.fi/onto/yso/p21353>	begging
<http://www.yso.fi/onto/yso/p16858>	wild boar
<http://www.yso.fi/onto/yso/p28947>	ritual garb
<http://www.yso.fi/onto/yso/p10017>	smoking
<http://www.yso.fi/onto/yso/p4843>	correspondents
<http://www.yso.fi/onto/yso/p8352>	record labels
<http://www.yso.fi/onto/yso/p16090>	perjury
<http://www.yso.fi/onto/yso/p9016>	lactic acid
<http://www.yso.fi/onto/yso/p17168>	capability
<http://www.yso.fi/onto/yso/p8066>	walls of buildings
<http://www.yso.fi/onto/yso/p119045>	Pori sub-region
<http://www.yso.fi/onto/yso/p592>	field cropping
<http://www.yso.fi/onto/yso/p110646>	lospacos
<http://www.yso.fi/onto/yso/p107927>	Roine
<http://www.yso.fi/onto/yso/p4555>	pH
<http://www.yso.fi/onto/yso/p27557>	keratins
<http://www.yso.fi/onto/yso/p17055>	skipper-engineer officers
<http://www.yso.fi/onto/yso/p26731>	Amber Room
<http://www.yso.fi/onto/yso/p20053>	Karaims
<http://www.yso.fi/onto/yso/p6289>	pottery
<http://www.yso.fi/onto/yso/p9896>	pinschers and schnauzers
<http://www.yso.fi/onto/yso/p7110>	musical instruments
<http://www.yso.fi/onto/yso/p17573>	pension policy
<http://www.yso.fi/onto/yso/p20949>	climatic effects
<http://www.yso.fi/onto/yso/p10841>	bread machines
<http://www.yso.fi/onto/yso/p18074>	cheap import
<http://www.yso.fi/onto/yso/p27179>	constitutional courts
<http://www.yso.fi/onto/yso/p10962>	delirium
<http://www.yso.fi/onto/yso/p5941>	walls
<http://www.yso.fi/onto/yso/p24522>	disaccharides
<http://www.yso.fi/onto/yso/p38234>	energy harvesting
<http://www.yso.fi/onto/yso/p110548>	Jakkukylä
<http://www.yso.fi/onto/yso/p178205>	Nice
<http://www.yso.fi/onto/yso/p10324>	Old French language
<http://www.yso.fi/onto/yso/p5041>	language areas
<http://www.yso.fi/onto/yso/p5463>	amphetamine
<http://www.yso.fi/onto/yso/p10640>	traffic census
<http://www.yso.fi/onto/yso/p10128>	black-throated loon
<http://www.yso.fi/onto/yso/p182187>	Tarvantovaara
<http://www.yso.fi/onto/yso/p2533>	carcinogens
<http://www.yso.fi/onto/yso/p15636>	lifeguards
<http://www.yso.fi/onto/yso/p21427>	advance voting
<http://www.yso.fi/onto/yso/p23114>	chemokines
<http://www.yso.fi/onto/yso/p6612>	reviews (literary works)
<http://www.yso.fi/onto/yso/p25691>	imams
<http://www.yso.fi/onto/yso/p22711>	hunting and fishing magazines
<http://www.yso.fi/onto/yso/p37898>	livestock protection dogs
<http://www.yso.fi/onto/yso/p4409>	income from work
<http://www.yso.fi/onto/yso/p11090>	parliamentary work
<http://www.yso.fi/onto/yso/p29087>	cat breeders
<http://www.yso.fi/onto/yso/p20704>	cochlear implants
<http://www.yso.fi/onto/yso/p112635>	Yövesi
<http://www.yso.fi/onto/yso/p23519>	MASK
<http://www.yso.fi/onto/yso/p2438>	business life
<http://www.yso.fi/onto/yso/p7001>	rainfall
<http://www.yso.fi/onto/yso/p22671>	colouring
<http://www.yso.fi/onto/yso/p25180>	drug design
<http://www.yso.fi/onto/yso/p7433>	border violations
<http://www.yso.fi/onto/yso/p29767>	conservative treatment
<http://www.yso.fi/onto/yso/p108401>	Tanhua
<http://www.yso.fi/onto/yso/p25475>	Axis powers
<http://www.yso.fi/onto/yso/p94237>	Kurkijoki
<http://www.yso.fi/onto/yso/p21811>	peer learning
<http://www.yso.fi/onto/yso/p22077>	open-angle glaucoma
<http://www.yso.fi/onto/yso/p20760>	unionism
<http://www.yso.fi/onto/yso/p21950>	calvados
<http://www.yso.fi/onto/yso/p20086>	community service
<http://www.yso.fi/onto/yso/p193022>	Pelješac
<http://www.yso.fi/onto/yso/p1055>	ontology (philosophy)
<http://www.yso.fi/onto/yso/p9105>	attention
<http://www.yso.fi/onto/yso/p4153>	fats
<http://www.yso.fi/onto/yso/p28812>	Norway lemming
<http://www.yso.fi/onto/yso/p11348>	classical archaeology
<http://www.yso.fi/onto/yso/p14492>	parenting guidance
<http://www.yso.fi/onto/yso/p4469>	engineers
<http://www.yso.fi/onto/yso/p1105>	environmental health care
<http://www.yso.fi/onto/yso/p704>	frequency
<http://www.yso.fi/onto/yso/p11673>	optical fibres
<http://www.yso.fi/onto/yso/p9246>	lights (technical objects)
<http://www.yso.fi/onto/yso/p18588>	developmental biology
<http://www.yso.fi/onto/yso/p29391>	Pulsatilla
<http://www.yso.fi/onto/yso/p176119>	Pellinki
<http://www.yso.fi/onto/yso/p19279>	legal entity
<http://www.yso.fi/onto/yso/p18327>	human dignity
<http://www.yso.fi/onto/yso/p5075>	applied sciences
<http://www.yso.fi/onto/yso/p14423>	rock plants
<http://www.yso.fi/onto/yso/p9330>	dromology
<http://www.yso.fi/onto/yso/p24226>	Chileans
<http://www.yso.fi/onto/yso/p28537>	sustainable assessment
<http://www.yso.fi/onto/yso/p23846>	pedagogical leadership
<http://www.yso.fi/onto/yso/p5141>	syllabi (programmes)
<http://www.yso.fi/onto/yso/p27293>	historical dances
<http://www.yso.fi/onto/yso/p16359>	citizens
<http://www.yso.fi/onto/yso/p3496>	gasification
<http://www.yso.fi/onto/yso/p17798>	tomography
<http://www.yso.fi/onto/yso/p6537>	drinking water
<http://www.yso.fi/onto/yso/p10064>	Eläintarhanajo
<http://www.yso.fi/onto/yso/p13108>	MODSIM II
<http://www.yso.fi/onto/yso/p17151>	vanadium
<http://www.yso.fi/onto/yso/p9467>	Ronald McDonald House
<http://www.yso.fi/onto/yso/p116450>	Uskelanjoki
<http://www.yso.fi/onto/yso/p10089>	local executives (cities and towns)
<http://www.yso.fi/onto/yso/p7506>	inducing guilt
<http://www.yso.fi/onto/yso/p8824>	glucosinolates
<http://www.yso.fi/onto/yso/p1081>	consumption tax
<http://www.yso.fi/onto/yso/p11605>	Limited Liability Companies Act
<http://www.yso.fi/onto/yso/p10821>	share issues
<http://www.yso.fi/onto/yso/p21466>	municipal halls
<http://www.yso.fi/onto/yso/p149187>	North Western Pirkanmaa
<http://www.yso.fi/onto/yso/p27030>	dates
<http://www.yso.fi/onto/yso/p11779>	social workers
<http://www.yso.fi/onto/yso/p4192>	labour (workforce)
<http://www.yso.fi/onto/yso/p6955>	blood sugar
<http://www.yso.fi/onto/yso/p11714>	weaving machines
<http://www.yso.fi/onto/yso/p4716>	tapping
<http://www.yso.fi/onto/yso/p15271>	Desmodus rotundus
<http://www.yso.fi/onto/yso/p28418>	dissolution of parliament
<http://www.yso.fi/onto/yso/p4567>	blood vessels
<http://www.yso.fi/onto/yso/p5673>	pedicure
<http://www.yso.fi/onto/yso/p14491>	service counselling
<http://www.yso.fi/onto/yso/p6088>	beliefs
<http://www.yso.fi/onto/yso/p536>	lightnings
<http://www.yso.fi/onto/yso/p30141>	contemporary Christian music
<http://www.yso.fi/onto/yso/p459>	ionising radiation
<http://www.yso.fi/onto/yso/p37769>	Holocene
<http://www.yso.fi/onto/yso/p18099>	matrices
<http://www.yso.fi/onto/yso/p3886>	military allotment system
<http://www.yso.fi/onto/yso/p22587>	necrophilia
<http://www.yso.fi/onto/yso/p20799>	Törnävä Church
<http://www.yso.fi/onto/yso/p28912>	dative case
<http://www.yso.fi/onto/yso/p3994>	name calling
<http://www.yso.fi/onto/yso/p864>	Felidae
<http://www.yso.fi/onto/yso/p165>	description languages
<http://www.yso.fi/onto/yso/p11556>	Serbian language
<http://www.yso.fi/onto/yso/p14474>	orthodoxy (properties)
<http://www.yso.fi/onto/yso/p106669>	Kuivakangas
<http://www.yso.fi/onto/yso/p20891>	drinking vessels
<http://www.yso.fi/onto/yso/p29276>	Breton language literature
<http://www.yso.fi/onto/yso/p7944>	disputes
<http://www.yso.fi/onto/yso/p17104>	Violaceae
<http://www.yso.fi/onto/yso/p19846>	ashtanga yoga
<http://www.yso.fi/onto/yso/p11639>	mixtures of butter and vegetable oils
<http://www.yso.fi/onto/yso/p27060>	binge eating disorder
<http://www.yso.fi/onto/yso/p1608>	hardness tests
<http://www.yso.fi/onto/yso/p159790>	Säppi
<http://www.yso.fi/onto/yso/p17153>	alphabetising
<http://www.yso.fi/onto/yso/p38138>	breeding birds
<http://www.yso.fi/onto/yso/p4442>	action theory
<http://www.yso.fi/onto/yso/p132008>	Kalasatama
<http://www.yso.fi/onto/yso/p115595>	Outer Hebrides
<http://www.yso.fi/onto/yso/p8629>	living separated
<http://www.yso.fi/onto/yso/p26911>	interlingua
<http://www.yso.fi/onto/yso/p1283>	weather
<http://www.yso.fi/onto/yso/p27121>	people with memory disorders
<http://www.yso.fi/onto/yso/p9881>	Arabic language literature
<http://www.yso.fi/onto/yso/p20448>	ploughs
<http://www.yso.fi/onto/yso/p23809>	East Europeans
<http://www.yso.fi/onto/yso/p15214>	Mass (religion)
<http://www.yso.fi/onto/yso/p11162>	library materials
<http://www.yso.fi/onto/yso/p17840>	centrifugal force
<http://www.yso.fi/onto/yso/p29135>	muscle mass
<http://www.yso.fi/onto/yso/p23216>	Scottish deerhound
<http://www.yso.fi/onto/yso/p109958>	Lievestuore
<http://www.yso.fi/onto/yso/p22205>	affiliated companies
<http://www.yso.fi/onto/yso/p8361>	vedanta
<http://www.yso.fi/onto/yso/p13327>	ketosis
<http://www.yso.fi/onto/yso/p20189>	Archipelago National Park (Finland)
<http://www.yso.fi/onto/yso/p153106>	Hattelmalanjärvi
<http://www.yso.fi/onto/yso/p6438>	harmonisation
<http://www.yso.fi/onto/yso/p6001>	Sitodiplosis mosellana
<http://www.yso.fi/onto/yso/p6299>	historical maps
<http://www.yso.fi/onto/yso/p22233>	mammary glands
<http://www.yso.fi/onto/yso/p14839>	upbringing at school
<http://www.yso.fi/onto/yso/p6316>	estates (social classes)
<http://www.yso.fi/onto/yso/p4618>	vehicle industry
<http://www.yso.fi/onto/yso/p4491>	vermin
<http://www.yso.fi/onto/yso/p7730>	idealism (attitudes)
<http://www.yso.fi/onto/yso/p105026>	Balkans
<http://www.yso.fi/onto/yso/p6462>	out-of-town guest
<http://www.yso.fi/onto/yso/p22803>	homonymy
<http://www.yso.fi/onto/yso/p18459>	Kemalism
<http://www.yso.fi/onto/yso/p25821>	brain tumors
<http://www.yso.fi/onto/yso/p15710>	boys in civil guards
<http://www.yso.fi/onto/yso/p26208>	atmospheric sciences
<http://www.yso.fi/onto/yso/p194770>	Loppa
<http://www.yso.fi/onto/yso/p9487>	real property agency
<http://www.yso.fi/onto/yso/p26371>	Georgian era
<http://www.yso.fi/onto/yso/p110152>	Kuorinka
<http://www.yso.fi/onto/yso/p5389>	intimate partner violence
<http://www.yso.fi/onto/yso/p8408>	organisational flags
<http://www.yso.fi/onto/yso/p6037>	population and workplace planning
<http://www.yso.fi/onto/yso/p505172>	Basra
<http://www.yso.fi/onto/yso/p16341>	rag rugs
<http://www.yso.fi/onto/yso/p26427>	folksonomies
<http://www.yso.fi/onto/yso/p4117>	carrying equipment
<http://www.yso.fi/onto/yso/p20184>	concordances
<http://www.yso.fi/onto/yso/p164>	computer languages
<http://www.yso.fi/onto/yso/p4742>	children's literature
<http://www.yso.fi/onto/yso/p28978>	past lives
<http://www.yso.fi/onto/yso/p10300>	striptease
<http://www.yso.fi/onto/yso/p26012>	underestimation
<http://www.yso.fi/onto/yso/p26786>	Hämeenpuisto Park
<http://www.yso.fi/onto/yso/p8642>	xenophobia
<http://www.yso.fi/onto/yso/p29644>	regenerative medicine
<http://www.yso.fi/onto/yso/p13648>	leishmaniasis
<http://www.yso.fi/onto/yso/p2994>	invasive species
<http://www.yso.fi/onto/yso/p7571>	farm forestry
<http://www.yso.fi/onto/yso/p22171>	imprisonment as a substitute for non-collectible fine
<http://www.yso.fi/onto/yso/p12325>	herpetology
<http://www.yso.fi/onto/yso/p16986>	Merikasarmi
<http://www.yso.fi/onto/yso/p10746>	teacher training
<http://www.yso.fi/onto/yso/p8937>	religious persecutions
<http://www.yso.fi/onto/yso/p244>	condominiums
<http://www.yso.fi/onto/yso/p25915>	satyrs
<http://www.yso.fi/onto/yso/p28984>	heme
<http://www.yso.fi/onto/yso/p139481>	Ylikylä
<http://www.yso.fi/onto/yso/p26914>	pulse code modulation
<http://www.yso.fi/onto/yso/p299>	on-the-job training
<http://www.yso.fi/onto/yso/p24139>	Yakutian cattle
<http://www.yso.fi/onto/yso/p14203>	continental climate
<http://www.yso.fi/onto/yso/p2814>	industrial safety districts
<http://www.yso.fi/onto/yso/p139893>	Kaijonharju
<http://www.yso.fi/onto/yso/p1797>	residence
<http://www.yso.fi/onto/yso/p23437>	Animal Welfare Act
<http://www.yso.fi/onto/yso/p15716>	oil lamps
<http://www.yso.fi/onto/yso/p4235>	radio receivers
<http://www.yso.fi/onto/yso/p11281>	environmental values
<http://www.yso.fi/onto/yso/p8283>	heat loss
<http://www.yso.fi/onto/yso/p14661>	felting
<http://www.yso.fi/onto/yso/p138279>	Naarkoski
<http://www.yso.fi/onto/yso/p7097>	functions (mathematical methods)
<http://www.yso.fi/onto/yso/p4076>	mass murder
<http://www.yso.fi/onto/yso/p15208>	hotels
<http://www.yso.fi/onto/yso/p8772>	political science
<http://www.yso.fi/onto/yso/p6426>	animism
<http://www.yso.fi/onto/yso/p8777>	interest groups (associations)
<http://www.yso.fi/onto/yso/p196765>	Machu Picchu
<http://www.yso.fi/onto/yso/p9791>	theft
<http://www.yso.fi/onto/yso/p9426>	interior decoration
<http://www.yso.fi/onto/yso/p21103>	east
<http://www.yso.fi/onto/yso/p19310>	mechanical control
<http://www.yso.fi/onto/yso/p15707>	aldehydes
<http://www.yso.fi/onto/yso/p16210>	badminton
<http://www.yso.fi/onto/yso/p1701>	digital printing
<http://www.yso.fi/onto/yso/p106002>	Anus Karelia
<http://www.yso.fi/onto/yso/p15896>	Iranian languages
<http://www.yso.fi/onto/yso/p116860>	Mississippi
<http://www.yso.fi/onto/yso/p109767>	Hetta
<http://www.yso.fi/onto/yso/p29658>	foam rolling
<http://www.yso.fi/onto/yso/p14401>	FrontPage
<http://www.yso.fi/onto/yso/p1361>	folk poetry (lyric poetry)
<http://www.yso.fi/onto/yso/p18713>	radio amateurs
<http://www.yso.fi/onto/yso/p10498>	tax exile
<http://www.yso.fi/onto/yso/p150286>	Tikansaari
<http://www.yso.fi/onto/yso/p7908>	economic control
<http://www.yso.fi/onto/yso/p23828>	library (institution)
<http://www.yso.fi/onto/yso/p94244>	Kälviä
<http://www.yso.fi/onto/yso/p18251>	Vanajanlinna manor
<http://www.yso.fi/onto/yso/p3402>	motifs
<http://www.yso.fi/onto/yso/p15163>	desulfurisation
<http://www.yso.fi/onto/yso/p972>	owners
<http://www.yso.fi/onto/yso/p176980>	Miami
<http://www.yso.fi/onto/yso/p4046>	product demonstrators
<http://www.yso.fi/onto/yso/p11013>	Linnansaari tenant farm
<http://www.yso.fi/onto/yso/p25918>	Lactobacillus rhamnosus GG
<http://www.yso.fi/onto/yso/p5763>	mazurkas (compositions)
<http://www.yso.fi/onto/yso/p3847>	helping
<http://www.yso.fi/onto/yso/p23318>	writers' associations
<http://www.yso.fi/onto/yso/p18661>	film education
<http://www.yso.fi/onto/yso/p18949>	catheterisation
<http://www.yso.fi/onto/yso/p5329>	entertainers
<http://www.yso.fi/onto/yso/p30042>	New Orleans jazz
<http://www.yso.fi/onto/yso/p4464>	regulation of water systems
<http://www.yso.fi/onto/yso/p11693>	musicals
<http://www.yso.fi/onto/yso/p27439>	5:2 diet
<http://www.yso.fi/onto/yso/p16494>	newspaper advertising
<http://www.yso.fi/onto/yso/p17133>	windows
<http://www.yso.fi/onto/yso/p22265>	Provincial Parliament
<http://www.yso.fi/onto/yso/p18535>	ponds
<http://www.yso.fi/onto/yso/p29418>	papaya
<http://www.yso.fi/onto/yso/p6154>	adhesion
<http://www.yso.fi/onto/yso/p23360>	German spitz mittel
<http://www.yso.fi/onto/yso/p25874>	cultural background
<http://www.yso.fi/onto/yso/p20026>	Turku Castle
<http://www.yso.fi/onto/yso/p19906>	submission
<http://www.yso.fi/onto/yso/p16412>	city states
<http://www.yso.fi/onto/yso/p25847>	depletion
<http://www.yso.fi/onto/yso/p17381>	groups of writers
<http://www.yso.fi/onto/yso/p13722>	political journalism
<http://www.yso.fi/onto/yso/p6813>	collection of charges
<http://www.yso.fi/onto/yso/p13177>	disruptive behaviour
<http://www.yso.fi/onto/yso/p20935>	wood supply
<http://www.yso.fi/onto/yso/p26383>	coastal areas
<http://www.yso.fi/onto/yso/p22224>	Gordon setter
<http://www.yso.fi/onto/yso/p21188>	Fabaceae
<http://www.yso.fi/onto/yso/p4523>	researchers
<http://www.yso.fi/onto/yso/p37802>	regional programmes (plans)
<http://www.yso.fi/onto/yso/p546>	working spaces
<http://www.yso.fi/onto/yso/p28409>	taunting tradition
<http://www.yso.fi/onto/yso/p13979>	Morbacka
<http://www.yso.fi/onto/yso/p17616>	Magnus IV Eriksson's Law of the Land
<http://www.yso.fi/onto/yso/p3439>	transvestism
<http://www.yso.fi/onto/yso/p24352>	amigurumi
<http://www.yso.fi/onto/yso/p10698>	Ratula manor
<http://www.yso.fi/onto/yso/p105214>	Kymi
<http://www.yso.fi/onto/yso/p11160>	beetroot
<http://www.yso.fi/onto/yso/p21406>	specialty goods trade
<http://www.yso.fi/onto/yso/p22679>	one-sidedness
<http://www.yso.fi/onto/yso/p19259>	forest vegetation
<http://www.yso.fi/onto/yso/p2156>	goods
<http://www.yso.fi/onto/yso/p17688>	origin markings
<http://www.yso.fi/onto/yso/p21800>	beauty care sector
<http://www.yso.fi/onto/yso/p2539>	Gobelin tapestries
<http://www.yso.fi/onto/yso/p13526>	becoming individualised
<http://www.yso.fi/onto/yso/p27247>	motivational interview
<http://www.yso.fi/onto/yso/p24030>	military names
<http://www.yso.fi/onto/yso/p25908>	Second Life
<http://www.yso.fi/onto/yso/p8776>	stakeholder groups
<http://www.yso.fi/onto/yso/p29290>	Turkmen language literature
<http://www.yso.fi/onto/yso/p5965>	liabilities
<http://www.yso.fi/onto/yso/p10055>	Accounting Act
<http://www.yso.fi/onto/yso/p28102>	human security
<http://www.yso.fi/onto/yso/p29721>	trochee
<http://www.yso.fi/onto/yso/p28496>	frigid zone
<http://www.yso.fi/onto/yso/p17238>	hand protectors
<http://www.yso.fi/onto/yso/p11202>	blowers (equipment)
<http://www.yso.fi/onto/yso/p25168>	health benefits
<http://www.yso.fi/onto/yso/p13403>	fire service equipment
<http://www.yso.fi/onto/yso/p16433>	unemployment benefit societies
<http://www.yso.fi/onto/yso/p14538>	compliance with requirements
<http://www.yso.fi/onto/yso/p109383>	Öllölä
<http://www.yso.fi/onto/yso/p25498>	Polytrichum
<http://www.yso.fi/onto/yso/p110102>	Gotha
<http://www.yso.fi/onto/yso/p194894>	Djibouti
<http://www.yso.fi/onto/yso/p3037>	coatings (matter)
<http://www.yso.fi/onto/yso/p20824>	commerce of housing
<http://www.yso.fi/onto/yso/p16659>	Turbo C++
<http://www.yso.fi/onto/yso/p16380>	music therapy
<http://www.yso.fi/onto/yso/p23640>	hydrophobins
<http://www.yso.fi/onto/yso/p29381>	citizen observations
<http://www.yso.fi/onto/yso/p6703>	hire purchase
<http://www.yso.fi/onto/yso/p4713>	closed-circuit television
<http://www.yso.fi/onto/yso/p25825>	heels (parts of the body)
<http://www.yso.fi/onto/yso/p12839>	Alnus incana
<http://www.yso.fi/onto/yso/p16679>	seedling stands
<http://www.yso.fi/onto/yso/p5908>	social theories
<http://www.yso.fi/onto/yso/p1774>	free will
<http://www.yso.fi/onto/yso/p15729>	pet shops
<http://www.yso.fi/onto/yso/p1655>	efficacy
